"Plot Title: 40_PondB_Deep_0.75m"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 20181770, SEN S/N: 20181770)","Host Connected (LGR S/N: 20181770)","Coupler Attached (LGR S/N: 20181770)","Stopped (LGR S/N: 20181770)","End Of File (LGR S/N: 20181770)"
1,05/09/20 08:00:00 PM,59.164,,,,
2,05/09/20 08:30:00 PM,59.164,,,,
3,05/09/20 09:00:00 PM,59.164,,,,
4,05/09/20 09:30:00 PM,59.164,,,,
5,05/09/20 10:00:00 PM,59.164,,,,
6,05/09/20 10:30:00 PM,59.164,,,,
7,05/09/20 11:00:00 PM,59.337,,,,
8,05/09/20 11:30:00 PM,59.164,,,,
9,05/10/20 12:00:00 AM,59.164,,,,
10,05/10/20 12:30:00 AM,59.164,,,,
11,05/10/20 01:00:00 AM,59.164,,,,
12,05/10/20 01:30:00 AM,58.993,,,,
13,05/10/20 02:00:00 AM,58.820,,,,
14,05/10/20 02:30:00 AM,58.647,,,,
15,05/10/20 03:00:00 AM,58.476,,,,
16,05/10/20 03:30:00 AM,58.131,,,,
17,05/10/20 04:00:00 AM,57.958,,,,
18,05/10/20 04:30:00 AM,57.785,,,,
19,05/10/20 05:00:00 AM,57.441,,,,
20,05/10/20 05:30:00 AM,57.268,,,,
21,05/10/20 06:00:00 AM,56.923,,,,
22,05/10/20 06:30:00 AM,56.750,,,,
23,05/10/20 07:00:00 AM,56.577,,,,
24,05/10/20 07:30:00 AM,56.404,,,,
25,05/10/20 08:00:00 AM,56.404,,,,
26,05/10/20 08:30:00 AM,56.404,,,,
27,05/10/20 09:00:00 AM,56.404,,,,
28,05/10/20 09:30:00 AM,56.750,,,,
29,05/10/20 10:00:00 AM,57.096,,,,
30,05/10/20 10:30:00 AM,57.096,,,,
31,05/10/20 11:00:00 AM,57.614,,,,
32,05/10/20 11:30:00 AM,57.441,,,,
33,05/10/20 12:00:00 PM,57.096,,,,
34,05/10/20 12:30:00 PM,57.096,,,,
35,05/10/20 01:00:00 PM,57.096,,,,
36,05/10/20 01:30:00 PM,57.096,,,,
37,05/10/20 02:00:00 PM,57.268,,,,
38,05/10/20 02:30:00 PM,57.096,,,,
39,05/10/20 03:00:00 PM,57.441,,,,
40,05/10/20 03:30:00 PM,57.614,,,,
41,05/10/20 04:00:00 PM,57.614,,,,
42,05/10/20 04:30:00 PM,57.958,,,,
43,05/10/20 05:00:00 PM,57.441,,,,
44,05/10/20 05:30:00 PM,57.268,,,,
45,05/10/20 06:00:00 PM,56.923,,,,
46,05/10/20 06:30:00 PM,56.750,,,,
47,05/10/20 07:00:00 PM,56.577,,,,
48,05/10/20 07:30:00 PM,56.404,,,,
49,05/10/20 08:00:00 PM,56.230,,,,
50,05/10/20 08:30:00 PM,56.057,,,,
