DATE,TIME,SITE,DATA ID,GPS Latitude (°),GPS Longitude (°),Barometer (mmHg),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Temp (°F),Resistivity (ohms-cm),Sigma-T (s t),Sigma (s),Chlorophyll (RFU),Chlorophyll (µg/L),PC (RFU),PC (ug/L),ODO (% Sat),ODO (mg/L),pH,pH (mV),Pressure (psi a),Depth (m),Vertical Position (m)
6/1/2020,9:04:24 AM,Pond A,,89.99999 °,179.99998 °,735.7,254.8,282,0.13,284.6,183,67.9,3925.3,-1.7,-1.7,0.94,3.98,-0.16,-0.22,147.4,13.41,8.76,-168.3,-0.007,-0.005,0.011
6/1/2020,9:04:24 AM,Pond A,,89.99999 °,179.99998 °,735.7,254.8,282,0.13,284.6,183,67.9,3925.3,-1.7,-1.7,0.94,3.98,-0.16,-0.22,147.4,13.41,8.76,-168.3,-0.007,-0.005,0.011
6/1/2020,9:04:24 AM,Pond A,,89.99999 °,179.99998 °,735.7,254.6,281.9,0.13,284.4,183,67.9,3927.3,-1.7,-1.7,0.94,3.99,-0.17,-0.22,147.6,13.42,8.76,-168.3,-0.004,-0.003,0.011
6/1/2020,9:04:24 AM,Pond A,,89.99999 °,179.99998 °,735.7,254.6,281.9,0.13,284.4,183,67.9,3927.7,-1.7,-1.7,0.94,4,-0.16,-0.21,147.6,13.43,8.76,-168.3,-0.003,-0.002,0.01
6/1/2020,9:04:25 AM,Pond A,,89.99999 °,179.99998 °,735.6,254.6,281.8,0.13,284.4,183,67.9,3928.2,-1.7,-1.7,0.94,4.01,-0.16,-0.22,147.6,13.43,8.76,-168.3,-0.002,-0.002,0.008
6/1/2020,9:04:25 AM,Pond A,,89.99999 °,179.99998 °,735.6,254.5,281.8,0.13,284.3,183,67.9,3928.7,-1.7,-1.7,0.94,4.01,-0.16,-0.22,147.7,13.44,8.76,-168.3,-0.002,-0.002,0.006
6/1/2020,9:04:25 AM,Pond A,,89.99999 °,179.99998 °,735.6,254.5,281.8,0.13,284.3,183,67.9,3928.8,-1.7,-1.7,0.94,4,-0.16,-0.22,147.7,13.44,8.76,-168.3,-0.002,-0.001,0.006
6/1/2020,9:04:25 AM,Pond A,,89.99999 °,179.99998 °,735.6,254.5,281.8,0.13,284.3,183,67.9,3929.3,-1.7,-1.7,0.94,4,-0.17,-0.22,147.8,13.44,8.76,-168.3,-0.001,-0.001,0.009
6/1/2020,9:04:26 AM,Pond A,,89.99999 °,179.99998 °,735.7,254.5,281.7,0.13,284.2,183,67.9,3929.7,-1.7,-1.7,0.94,3.99,-0.17,-0.22,147.8,13.45,8.76,-168.3,0,0,0.014
6/1/2020,9:04:26 AM,Pond A,,89.99999 °,179.99998 °,735.7,254.4,281.7,0.13,284.2,183,67.9,3930.4,-1.7,-1.7,0.94,3.99,-0.17,-0.22,147.8,13.45,8.76,-168.3,0,0,0.016
