DATE,TIME,SITE,DATA ID,GPS Latitude (°),GPS Longitude (°),Barometer (mmHg),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Temp (°F),Resistivity (ohms-cm),Sigma-T (s t),Sigma (s),Chlorophyll (RFU),Chlorophyll (µg/L),PC (RFU),PC (ug/L),ODO (% Sat),ODO (mg/L),pH,pH (mV),Pressure (psi a),Depth (m),Vertical Position (m)
5/31/2020,10:14:52 AM,Pond F,,89.99999 °,179.99998 °,741.9,259.9,275.5,0.13,277,179,71.7,3848.4,-2.1,-2.1,0.62,2.71,-0.25,-0.27,161.5,14.1,8.94,-179.4,-0.023,-0.016,-0.018
5/31/2020,10:14:52 AM,Pond F,,89.99999 °,179.99998 °,742,259.9,275.5,0.13,277,179,71.7,3848.4,-2.1,-2.1,0.62,2.71,-0.25,-0.27,161.5,14.1,8.94,-179.4,-0.023,-0.016,-0.018
5/31/2020,10:14:52 AM,Pond F,,89.99999 °,179.99998 °,742,259.9,275.5,0.13,277,179,71.7,3848.2,-2.1,-2.1,0.62,2.75,-0.25,-0.27,161.6,14.12,8.94,-179.4,-0.024,-0.017,-0.018
5/31/2020,10:14:52 AM,Pond F,,89.99999 °,179.99998 °,742,259.9,275.5,0.13,277,179,71.7,3848.1,-2.1,-2.1,0.63,2.79,-0.26,-0.28,161.7,14.12,8.94,-179.4,-0.024,-0.017,-0.018
5/31/2020,10:14:53 AM,Pond F,,89.99999 °,179.99998 °,742,259.9,275.5,0.13,277,179,71.7,3847.9,-2.1,-2.1,0.62,2.74,-0.26,-0.28,161.8,14.13,8.94,-179.4,-0.024,-0.017,-0.018
5/31/2020,10:14:53 AM,Pond F,,89.99999 °,179.99998 °,742,259.9,275.5,0.13,277,179,71.7,3847.8,-2.1,-2.1,0.61,2.71,-0.26,-0.28,161.8,14.13,8.94,-179.4,-0.024,-0.017,-0.017
5/31/2020,10:14:53 AM,Pond F,,89.99999 °,179.99998 °,742,259.9,275.5,0.13,277,179,71.7,3847.8,-2.1,-2.1,0.62,2.73,-0.27,-0.28,161.9,14.14,8.94,-179.4,-0.025,-0.017,-0.018
5/31/2020,10:14:53 AM,Pond F,,89.99999 °,179.99998 °,742,259.9,275.5,0.13,277,179,71.7,3847.8,-2.1,-2.1,0.61,2.67,-0.27,-0.29,162,14.15,8.94,-179.4,-0.024,-0.017,-0.017
5/31/2020,10:14:54 AM,Pond F,,89.99999 °,179.99998 °,742,259.9,275.5,0.13,277,179,71.7,3847.6,-2.1,-2.1,0.6,2.64,-0.27,-0.29,162.1,14.15,8.94,-179.4,-0.024,-0.017,-0.017
5/31/2020,10:14:54 AM,Pond F,,89.99999 °,179.99998 °,741.9,259.9,275.5,0.13,277,179,71.7,3847.6,-2.1,-2.1,0.6,2.66,-0.28,-0.29,162.2,14.16,8.94,-179.4,-0.024,-0.017,-0.016
5/31/2020,10:14:54 AM,Pond F,,89.99999 °,179.99998 °,741.9,259.9,275.5,0.13,277,179,71.7,3847.6,-2.1,-2.1,0.61,2.68,-0.28,-0.29,162.2,14.16,8.94,-179.4,-0.024,-0.017,-0.017
5/31/2020,10:14:54 AM,Pond F,,89.99999 °,179.99998 °,741.9,259.9,275.5,0.13,277,179,71.7,3847.5,-2.1,-2.1,0.61,2.7,-0.28,-0.29,162.3,14.17,8.94,-179.4,-0.024,-0.017,-0.017
5/31/2020,10:14:55 AM,Pond F,,89.99999 °,179.99998 °,741.9,259.9,275.5,0.13,277,179,71.7,3847.5,-2.1,-2.1,0.62,2.73,-0.28,-0.29,162.4,14.18,8.94,-179.4,-0.024,-0.017,-0.012
5/31/2020,10:14:55 AM,Pond F,,89.99999 °,179.99998 °,742,259.9,275.5,0.13,277,179,71.7,3847.3,-2.1,-2.1,0.61,2.7,-0.28,-0.29,162.4,14.18,8.94,-179.4,-0.024,-0.017,-0.009
5/31/2020,10:14:55 AM,Pond F,,89.99999 °,179.99998 °,742,259.9,275.5,0.13,277,179,71.7,3847.2,-2.1,-2.1,0.61,2.71,-0.28,-0.29,162.5,14.19,8.94,-179.4,-0.021,-0.015,0.004
5/31/2020,10:14:55 AM,Pond F,,89.99999 °,179.99998 °,742,259.9,275.5,0.13,277,179,71.7,3847,-2.1,-2.1,0.6,2.65,-0.28,-0.29,162.6,14.19,8.94,-179.4,-0.02,-0.014,0.009
5/31/2020,10:14:56 AM,Pond F,,89.99999 °,179.99998 °,742,260,275.5,0.13,277,179,71.7,3846.9,-2.1,-2.1,0.6,2.64,-0.28,-0.29,162.7,14.2,8.94,-179.4,-0.02,-0.014,0.009
5/31/2020,10:14:56 AM,Pond F,,89.99999 °,179.99998 °,742,260,275.5,0.13,277,179,71.7,3846.7,-2.1,-2.1,0.59,2.62,-0.27,-0.29,162.7,14.2,8.94,-179.4,-0.017,-0.012,0.02
5/31/2020,10:14:56 AM,Pond F,,89.99999 °,179.99998 °,742,260,275.5,0.13,277,179,71.7,3846.6,-2.1,-2.1,0.58,2.59,-0.27,-0.29,162.7,14.21,8.94,-179.4,-0.013,-0.009,0.029
5/31/2020,10:14:56 AM,Pond F,,89.99999 °,179.99998 °,742,260,275.5,0.13,277,179,71.7,3846.4,-2.1,-2.1,0.57,2.55,-0.27,-0.28,162.8,14.21,8.94,-179.4,-0.013,-0.009,0.029
5/31/2020,10:14:57 AM,Pond F,,89.99999 °,179.99998 °,742,260,275.5,0.13,277,179,71.7,3846.3,-2.1,-2.1,0.57,2.55,-0.27,-0.28,162.9,14.22,8.94,-179.4,-0.011,-0.008,0.031
5/31/2020,10:14:57 AM,Pond F,,89.99999 °,179.99998 °,742,260,275.5,0.13,277,179,71.7,3846.2,-2.1,-2.1,0.58,2.57,-0.27,-0.29,163,14.22,8.94,-179.4,-0.005,-0.004,0.042
5/31/2020,10:14:57 AM,Pond F,,89.99999 °,179.99998 °,742,260,275.5,0.13,277,179,71.7,3846,-2.1,-2.1,0.58,2.58,-0.27,-0.29,163,14.23,8.94,-179.4,-0.005,-0.004,0.042
5/31/2020,10:14:57 AM,Pond F,,89.99999 °,179.99998 °,742,260,275.5,0.13,277,179,71.7,3845.9,-2.1,-2.1,0.59,2.6,-0.27,-0.29,163.1,14.24,8.94,-179.4,-0.004,-0.003,0.045
5/31/2020,10:14:58 AM,Pond F,,89.99999 °,179.99998 °,742,260,275.5,0.13,277,179,71.7,3845.9,-2.1,-2.1,0.6,2.67,-0.27,-0.29,163.1,14.24,8.94,-179.4,0,0,0.054
5/31/2020,10:14:58 AM,Pond F,,89.99999 °,179.99998 °,742,260,275.5,0.13,277,179,71.7,3845.7,-2.1,-2.1,0.61,2.71,-0.27,-0.29,163.2,14.25,8.94,-179.4,0.003,0.002,0.061
5/31/2020,10:14:58 AM,Pond F,,89.99999 °,179.99998 °,742,260,275.5,0.13,277,179,71.7,3845.7,-2.1,-2.1,0.62,2.75,-0.27,-0.29,163.2,14.25,8.94,-179.4,0.007,0.005,0.07
5/31/2020,10:14:58 AM,Pond F,,89.99999 °,179.99998 °,742,260,275.5,0.13,277,179,71.7,3845.6,-2.1,-2.1,0.63,2.75,-0.27,-0.29,163.3,14.25,8.94,-179.4,0.007,0.005,0.07
5/31/2020,10:14:59 AM,Pond F,,89.99999 °,179.99998 °,742,260,275.5,0.13,277,179,71.7,3845.4,-2.1,-2.1,0.62,2.75,-0.27,-0.29,163.4,14.26,8.94,-179.4,0.015,0.01,0.086
5/31/2020,10:14:59 AM,Pond F,,89.99999 °,179.99998 °,742,260,275.5,0.13,277,179,71.7,3845.4,-2.1,-2.1,0.62,2.75,-0.28,-0.29,163.4,14.27,8.94,-179.4,0.015,0.01,0.086
5/31/2020,10:14:59 AM,Pond F,,89.99999 °,179.99998 °,742,260.1,275.5,0.13,277,179,71.7,3845.3,-2.1,-2.1,0.64,2.81,-0.27,-0.29,163.5,14.27,8.94,-179.4,0.017,0.012,0.091
