DATE,TIME,SITE,DATA ID,GPS Latitude (°),GPS Longitude (°),Barometer (mmHg),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Temp (°F),Resistivity (ohms-cm),Sigma-T (s t),Sigma (s),Chlorophyll (RFU),Chlorophyll (µg/L),PC (RFU),PC (ug/L),ODO (% Sat),ODO (mg/L),pH,pH (mV),Pressure (psi a),Depth (m),Vertical Position (m)
6/5/2020,9:14:00 AM,Pond A,,89.99999 °,179.99998 °,731.1,299.8,295.7,0.14,295.3,192,78.3,3335.7,-3,-3,0.49,2.21,-0.27,-0.29,122.4,9.97,8.36,-146.6,0.002,0.001,0
6/5/2020,9:14:00 AM,Pond A,,89.99999 °,179.99998 °,731.1,299.8,295.7,0.14,295.3,192,78.3,3335.7,-3,-3,0.49,2.21,-0.27,-0.29,122.4,9.97,8.36,-146.6,0.002,0.001,0
6/5/2020,9:14:00 AM,Pond A,,89.99999 °,179.99998 °,731.1,299.8,295.7,0.14,295.3,192,78.3,3335.6,-3,-3,0.48,2.18,-0.27,-0.29,122.4,9.97,8.36,-146.6,0.002,0.001,0
6/5/2020,9:14:00 AM,Pond A,,89.99999 °,179.99998 °,731.1,299.8,295.7,0.14,295.3,192,78.3,3335.6,-3,-3,0.48,2.17,-0.27,-0.28,122.4,9.97,8.36,-146.6,0.002,0.001,0.001
6/5/2020,9:14:01 AM,Pond A,,89.99999 °,179.99998 °,731,299.8,295.7,0.14,295.3,192,78.3,3335.6,-3,-3,0.48,2.2,-0.26,-0.28,122.4,9.97,8.36,-146.6,0.002,0.001,0
6/5/2020,9:14:01 AM,Pond A,,89.99999 °,179.99998 °,731,299.8,295.7,0.14,295.3,192,78.3,3335.7,-3,-3,0.49,2.2,-0.26,-0.28,122.4,9.97,8.36,-146.6,0.001,0.001,-0.001
6/5/2020,9:14:01 AM,Pond A,,89.99999 °,179.99998 °,731,299.8,295.7,0.14,295.3,192,78.3,3335.7,-3,-3,0.49,2.2,-0.26,-0.28,122.4,9.97,8.36,-146.6,0.001,0.001,0
6/5/2020,9:14:01 AM,Pond A,,89.99999 °,179.99998 °,731,299.8,295.7,0.14,295.3,192,78.3,3335.7,-3,-3,0.48,2.19,-0.26,-0.28,122.4,9.97,8.36,-146.6,0.001,0.001,0
6/5/2020,9:14:02 AM,Pond A,,89.99999 °,179.99998 °,731,299.8,295.7,0.14,295.3,192,78.3,3335.7,-3,-3,0.48,2.19,-0.26,-0.28,122.4,9.97,8.36,-146.6,0.002,0.001,0.002
6/5/2020,9:14:02 AM,Pond A,,89.99999 °,179.99998 °,731,299.8,295.7,0.14,295.3,192,78.3,3335.7,-3,-3,0.48,2.18,-0.26,-0.28,122.4,9.97,8.36,-146.6,0.002,0.001,0.001
6/5/2020,9:14:02 AM,Pond A,,89.99999 °,179.99998 °,731,299.8,295.7,0.14,295.3,192,78.3,3335.7,-3,-3,0.49,2.21,-0.26,-0.28,122.4,9.97,8.36,-146.7,0.002,0.001,0.002
6/5/2020,9:14:02 AM,Pond A,,89.99999 °,179.99998 °,731,299.8,295.7,0.14,295.3,192,78.3,3335.7,-3,-3,0.49,2.23,-0.26,-0.28,122.4,9.97,8.36,-146.7,0.002,0.001,0.007
6/5/2020,9:14:03 AM,Pond A,,89.99999 °,179.99998 °,731.1,299.8,295.7,0.14,295.3,192,78.3,3335.8,-3,-3,0.5,2.27,-0.26,-0.28,122.4,9.98,8.36,-146.7,0.002,0.001,0.008
6/5/2020,9:14:03 AM,Pond A,,89.99999 °,179.99998 °,731.1,299.8,295.7,0.14,295.3,192,78.3,3335.8,-3,-3,0.5,2.25,-0.27,-0.28,122.4,9.98,8.36,-146.7,0.002,0.002,0.012
