DATE,TIME,SITE,DATA ID,GPS Latitude (°),GPS Longitude (°),Barometer (mmHg),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Temp (°F),Resistivity (ohms-cm),Sigma-T (s t),Sigma (s),Chlorophyll (RFU),Chlorophyll (µg/L),PC (RFU),PC (ug/L),ODO (% Sat),ODO (mg/L),pH,pH (mV),Pressure (psi a),Depth (m),Vertical Position (m)
5/25/2020,10:46:15 AM,Pond F,,89.99999 °,179.99998 °,731.1,315.5,338.6,0.16,340.8,220,70.6,3169.4,-2,-2,0.45,2.07,-0.25,-0.27,133.2,11.76,8.45,-150.9,0.001,0.001,0.001
5/25/2020,10:46:15 AM,Pond F,,89.99999 °,179.99998 °,731.1,315.5,338.6,0.16,340.8,220,70.6,3169.4,-2,-2,0.45,2.07,-0.25,-0.27,133.2,11.76,8.45,-150.9,0.001,0.001,0.001
5/25/2020,10:46:15 AM,Pond F,,89.99999 °,179.99998 °,731.1,315.5,338.5,0.16,340.7,220,70.6,3170.1,-2,-2,0.45,2.06,-0.25,-0.27,133.3,11.78,8.45,-150.9,0.001,0.001,0.001
5/25/2020,10:46:15 AM,Pond F,,89.99999 °,179.99998 °,731.1,315.4,338.4,0.16,340.6,220,70.6,3170.5,-2,-2,0.46,2.08,-0.25,-0.27,133.4,11.78,8.45,-151,0.001,0.001,0.001
5/25/2020,10:46:16 AM,Pond F,,89.99999 °,179.99998 °,731.1,315.4,338.4,0.16,340.6,220,70.6,3171,-2,-2,0.45,2.07,-0.25,-0.27,133.4,11.78,8.45,-151,0.001,0.001,0.001
5/25/2020,10:46:16 AM,Pond F,,89.99999 °,179.99998 °,731.1,315.3,338.3,0.16,340.5,220,70.6,3171.5,-2,-2,0.46,2.1,-0.25,-0.27,133.5,11.79,8.45,-151,0.001,0.001,0.001
5/25/2020,10:46:16 AM,Pond F,,89.99999 °,179.99998 °,731.1,315.3,338.2,0.16,340.4,220,70.6,3172,-2,-2,0.47,2.14,-0.25,-0.27,133.5,11.79,8.45,-151,0.001,0.001,0.001
5/25/2020,10:46:16 AM,Pond F,,89.99999 °,179.99998 °,731.1,315.2,338.2,0.16,340.4,220,70.6,3172.5,-2,-2,0.47,2.13,-0.25,-0.27,133.6,11.8,8.45,-151,0.001,0.001,0.001
5/25/2020,10:46:17 AM,Pond F,,89.99999 °,179.99998 °,731.1,315.2,338.1,0.16,340.3,220,70.6,3173.1,-2,-2,0.47,2.15,-0.25,-0.28,133.7,11.81,8.45,-151,0.001,0.001,0
5/25/2020,10:46:17 AM,Pond F,,89.99999 °,179.99998 °,731.1,315.1,338,0.16,340.2,220,70.6,3173.7,-2,-2,0.47,2.15,-0.25,-0.28,133.7,11.81,8.46,-151.1,0.001,0.001,0
5/25/2020,10:46:17 AM,Pond F,,89.99999 °,179.99998 °,731.1,315.1,338,0.16,340.2,220,70.6,3174,-2,-2,0.47,2.16,-0.25,-0.27,133.8,11.81,8.46,-151.1,0.001,0.001,0.001
5/25/2020,10:46:17 AM,Pond F,,89.99999 °,179.99998 °,731.1,315,337.9,0.16,340.1,220,70.6,3174.7,-2,-2,0.47,2.16,-0.25,-0.27,133.8,11.82,8.46,-151.1,0.001,0.001,0
