DATE,TIME,SITE,DATA ID,GPS Latitude (°),GPS Longitude (°),Barometer (mmHg),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Temp (°F),Resistivity (ohms-cm),Sigma-T (s t),Sigma (s),Chlorophyll (RFU),Chlorophyll (µg/L),PC (RFU),PC (ug/L),ODO (% Sat),ODO (mg/L),pH,pH (mV),Pressure (psi a),Depth (m),Vertical Position (m)
5/28/2020,9:35:27 AM,Pond A,,89.99999 °,179.99998 °,731.9,230.9,247.8,0.12,249.4,161,70.6,4329.9,-2,-2,1.85,7.59,0.12,-0.03,111.7,9.87,8.71,-165.9,-0.039,-0.027,0.011
5/28/2020,9:35:27 AM,Pond A,,89.99999 °,179.99998 °,731.9,230.9,247.8,0.12,249.4,161,70.6,4329.9,-2,-2,1.85,7.59,0.12,-0.03,111.7,9.87,8.71,-165.9,-0.039,-0.027,0.011
5/28/2020,9:35:27 AM,Pond A,,89.99999 °,179.99998 °,731.9,231,247.7,0.12,249.3,161,70.6,4329.8,-2,-2,2.09,8.54,0.12,-0.03,112.2,9.91,8.71,-166.1,-0.038,-0.027,0.009
5/28/2020,9:35:27 AM,Pond A,,89.99999 °,179.99998 °,731.9,231,247.6,0.12,249.2,161,70.7,4329.4,-2,-2,1.86,7.63,0.13,-0.03,112.6,9.94,8.71,-166.1,-0.038,-0.027,0.009
5/28/2020,9:35:28 AM,Pond A,,89.99999 °,179.99998 °,731.9,231,247.5,0.12,249.1,161,70.7,4328.8,-2,-2,1.88,7.7,0.13,-0.03,112.9,9.96,8.72,-166.1,-0.037,-0.026,0.009
5/28/2020,9:35:28 AM,Pond A,,89.99999 °,179.99998 °,731.9,231,247.5,0.12,249.1,161,70.7,4328.3,-2,-2,1.99,8.14,0.13,-0.03,113.1,9.99,8.72,-166.2,-0.037,-0.026,0.005
5/28/2020,9:35:28 AM,Pond A,,89.99999 °,179.99998 °,731.9,231,247.4,0.12,249,161,70.8,4328.1,-2,-2,1.8,7.38,0.13,-0.03,113.4,10.01,8.72,-166.2,-0.037,-0.026,-0.002
5/28/2020,9:35:28 AM,Pond A,,89.99999 °,179.99998 °,731.9,231.1,247.4,0.12,248.9,161,70.8,4327.9,-2,-2,1.82,7.47,0.13,-0.03,113.7,10.03,8.72,-166.3,-0.037,-0.026,-0.003
5/28/2020,9:35:29 AM,Pond A,,89.99999 °,179.99998 °,731.9,231.1,247.3,0.12,248.9,161,70.8,4327.3,-2,-2,2.05,8.38,0.13,-0.03,113.8,10.03,8.72,-166.3,-0.036,-0.025,0.005
5/28/2020,9:35:29 AM,Pond A,,89.99999 °,179.99998 °,731.9,231.1,247.2,0.12,248.8,161,70.9,4326.8,-2,-2,1.86,7.61,0.13,-0.03,114,10.05,8.72,-166.4,-0.036,-0.025,0.011
5/28/2020,9:35:29 AM,Pond A,,89.99999 °,179.99998 °,731.9,231.2,247.2,0.12,248.7,161,70.9,4326,-2,-2,1.92,7.87,0.12,-0.03,114.3,10.07,8.72,-166.4,-0.035,-0.025,0.016
5/28/2020,9:35:29 AM,Pond A,,89.99999 °,179.99998 °,731.9,231.2,247.1,0.12,248.6,161,70.9,4325.4,-2.1,-2.1,1.81,7.44,0.13,-0.03,114.5,10.08,8.72,-166.5,-0.035,-0.024,0.018
5/28/2020,9:35:30 AM,Pond A,,89.99999 °,179.99998 °,731.9,231.2,247,0.12,248.6,161,71,4324.9,-2.1,-2.1,1.81,7.44,0.13,-0.03,114.7,10.1,8.72,-166.5,-0.034,-0.024,0.017
5/28/2020,9:35:30 AM,Pond A,,89.99999 °,179.99998 °,731.9,231.2,247,0.12,248.5,161,71,4324.5,-2.1,-2.1,1.81,7.44,0.12,-0.03,114.9,10.11,8.72,-166.6,-0.034,-0.024,0.018
5/28/2020,9:35:30 AM,Pond A,,89.99999 °,179.99998 °,731.9,231.3,246.9,0.12,248.4,161,71,4324.3,-2.1,-2.1,1.81,7.44,0.12,-0.04,115.1,10.13,8.72,-166.6,-0.033,-0.023,0.035
5/28/2020,9:35:30 AM,Pond A,,89.99999 °,179.99998 °,731.9,231.3,246.9,0.12,248.4,160,71.1,4323.8,-2.1,-2.1,1.81,7.45,0.11,-0.04,115.3,10.14,8.72,-166.6,-0.033,-0.023,0.052
5/28/2020,9:35:31 AM,Pond A,,89.99999 °,179.99998 °,731.9,231.3,246.8,0.12,248.3,160,71.1,4322.6,-2.1,-2.1,1.82,7.45,0.11,-0.04,115.4,10.14,8.72,-166.7,-0.032,-0.023,0.066
5/28/2020,9:35:31 AM,Pond A,,89.99999 °,179.99998 °,731.9,231.4,246.8,0.12,248.3,160,71.1,4321.1,-2.1,-2.1,1.82,7.49,0.11,-0.04,115.6,10.16,8.72,-166.7,-0.03,-0.021,0.081
5/28/2020,9:35:31 AM,Pond A,,89.99999 °,179.99998 °,731.9,231.5,246.8,0.12,248.3,160,71.2,4319.7,-2.1,-2.1,1.83,7.52,0.12,-0.04,115.7,10.17,8.72,-166.7,-0.03,-0.021,0.088
5/28/2020,9:35:31 AM,Pond A,,89.99999 °,179.99998 °,731.9,231.6,246.8,0.12,248.3,160,71.2,4318.2,-2.1,-2.1,1.83,7.52,0.11,-0.04,115.9,10.18,8.72,-166.8,-0.029,-0.02,0.094
5/28/2020,9:35:32 AM,Pond A,,89.99999 °,179.99998 °,731.9,231.7,246.8,0.12,248.3,160,71.2,4316.5,-2.1,-2.1,1.83,7.52,0.11,-0.04,116.1,10.19,8.72,-166.8,-0.028,-0.02,0.099
5/28/2020,9:35:32 AM,Pond A,,89.99999 °,179.99998 °,731.9,231.8,246.8,0.12,248.3,160,71.3,4314.6,-2.1,-2.1,1.84,7.53,0.11,-0.04,120.3,10.56,8.73,-166.8,-0.026,-0.018,0.102
