DATE,TIME,SITE,DATA ID,GPS Latitude (°),GPS Longitude (°),Barometer (mmHg),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Temp (°F),Sigma-T (s t),Sigma (s),Chlorophyll (RFU),Chlorophyll (µg/L),PC (RFU),PC (ug/L),ODO (% Sat),ODO (mg/L),ODO (% LocalB),pH,pH (mV),Pressure (psi a),Depth (m),Vertical Position (m)
6/25/2020,9:04:22 AM,Pond A,,0.00000 °,0.00000 °,734.1,307.3,323.8,0.15,325.4,210,72.2,-2.2,-2.2,2.35,9.58,-0.07,-0.16,53.6,4.66,55.5,11.19,-310.4,-0.009,-0.006,-0.005
6/25/2020,9:04:22 AM,Pond A,,0.00000 °,0.00000 °,734.1,307.3,323.7,0.15,325.3,210,72.2,-2.2,-2.2,2.35,9.58,-0.09,-0.17,53.6,4.66,55.5,11.19,-310.4,-0.009,-0.006,-0.006
6/25/2020,9:04:22 AM,Pond A,,0.00000 °,0.00000 °,734.1,307.2,323.7,0.15,325.3,210,72.2,-2.2,-2.2,2.35,9.58,-0.09,-0.17,53.6,4.65,55.5,11.19,-310.4,-0.008,-0.006,-0.005
6/25/2020,9:04:22 AM,Pond A,,0.00000 °,0.00000 °,734.1,307.2,323.7,0.15,325.3,210,72.2,-2.2,-2.2,2.35,9.58,-0.09,-0.17,53.6,4.65,55.5,11.2,-310.5,-0.009,-0.006,-0.007
6/25/2020,9:04:23 AM,Pond A,,0.00000 °,0.00000 °,734.1,307.2,323.7,0.15,325.3,210,72.2,-2.2,-2.2,2.56,10.38,-0.09,-0.17,53.6,4.65,55.5,11.19,-310.4,-0.009,-0.006,-0.007
6/25/2020,9:04:23 AM,Pond A,,0.00000 °,0.00000 °,734.1,307.2,323.7,0.15,325.3,210,72.2,-2.2,-2.2,2.08,8.48,-0.09,-0.17,53.6,4.65,55.5,11.19,-310.4,-0.009,-0.006,-0.005
6/25/2020,9:04:23 AM,Pond A,,0.00000 °,0.00000 °,734.1,307.2,323.7,0.15,325.3,210,72.2,-2.2,-2.2,2.13,8.7,-0.09,-0.17,53.6,4.65,55.5,11.19,-310.4,-0.009,-0.006,-0.007
6/25/2020,9:04:23 AM,Pond A,,0.00000 °,0.00000 °,734.1,307.2,323.6,0.15,325.3,210,72.2,-2.2,-2.2,1.77,7.26,-0.09,-0.17,53.6,4.65,55.5,11.19,-310.4,-0.009,-0.006,-0.007
6/25/2020,9:04:24 AM,Pond A,,0.00000 °,0.00000 °,734,307.2,323.6,0.15,325.2,210,72.2,-2.2,-2.2,1.79,7.36,-0.09,-0.17,53.6,4.65,55.5,11.19,-310.4,-0.008,-0.006,-0.004
6/25/2020,9:04:24 AM,Pond A,,0.00000 °,0.00000 °,734,307.1,323.6,0.15,325.2,210,72.2,-2.2,-2.2,2.36,9.61,-0.09,-0.17,53.6,4.65,55.5,11.19,-310.4,-0.008,-0.006,-0.001
6/25/2020,9:04:24 AM,Pond A,,0.00000 °,0.00000 °,734,307.1,323.6,0.15,325.2,210,72.2,-2.2,-2.2,1.4,5.83,-0.1,-0.17,53.5,4.65,55.4,11.19,-310.4,-0.008,-0.006,0.002
6/25/2020,9:04:24 AM,Pond A,,0.00000 °,0.00000 °,734,307.1,323.6,0.15,325.2,210,72.2,-2.2,-2.2,2.25,9.16,-0.1,-0.17,53.5,4.65,55.4,11.19,-310.4,-0.007,-0.005,0.008
6/25/2020,9:04:25 AM,Pond A,,0.00000 °,0.00000 °,734.1,307.1,323.5,0.15,325.1,210,72.2,-2.2,-2.2,2.25,9.17,-0.1,-0.18,53.5,4.65,55.4,11.19,-310.3,-0.006,-0.004,0.015
6/25/2020,9:04:25 AM,Pond A,,0.00000 °,0.00000 °,734.1,307,323.5,0.15,325.1,210,72.2,-2.2,-2.2,2.16,8.8,-0.11,-0.18,53.5,4.65,55.4,11.19,-310.3,-0.005,-0.003,0.017
6/25/2020,9:04:25 AM,Pond A,,0.00000 °,0.00000 °,734.1,307,323.5,0.15,325.1,210,72.2,-2.2,-2.2,1.59,6.58,-0.11,-0.18,53.5,4.64,55.4,11.19,-310.3,-0.002,-0.002,0.023
