pond_id,treatment,doy,period,week,ch4_flux,co2_flux,n2o_flux,ch4_lake,n2o_lake,co2_lake,GPP,R,NEP,tp,srp,tn,nox,nhx,bottom_do,bottom_do_sat,temp,chla,wind_speed,wind_U10,DEA,methanogenesis,buoy_freq
A,pulsed,142,BASE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.165166666666666,101.94833333333334,16.364583333333332,28.946875000000002,NA,NA,NA,NA,NA
A,pulsed,143,BASE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.2,0,0.2484,0.042644,NA,8.562222222222223,86.57777777777778,16.204545454545457,14.435454545454546,NA,NA,NA,NA,0.04772317739187169
A,pulsed,144,BASE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.909407407407407,91.34222222222222,17.06800766283525,10.536206896551723,0.3358333333333333,0.3828003910518179,NA,NA,0.05039973270243053
A,pulsed,145,BASE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.314375,75.79305555555555,17.34561403508772,9.145368421052632,0.5549999999999999,0.6326180159814161,NA,NA,0.05506314929155307
A,pulsed,146,BASE,1,4.215073884559687,-7.886880259121472,0.0024527908626503473,8.584809325017439,0.011798744324681509,0.7677835659908987,20.422974898378513,-9.993124734884537,10.429850163493976,33.95,0,0.427385,0.026329,NA,8.259833333333333,89.19,18.358834244080146,9.295245901639344,0.29354166666666665,0.3345941383325133,1.9562079257936369e-4,0.0059707336461407665,0.06069003228582175
A,pulsed,147,BASE,NA,NA,NA,NA,NA,NA,NA,8.828259677269408,-7.025053542507135,1.8032061347622728,NA,NA,NA,NA,NA,8.30595238095238,88.3892857142857,19.52046783625731,8.873684210526315,0.51375,0.5855991093882028,NA,NA,0.07377043558370017
A,pulsed,148,BASE,1,2.0130755349509744,-7.864782119904279,0.001390844718455852,4.03200306935696,0.01053990798149857,0.7903653917364631,10.30965379523012,-6.293546232023494,4.016107563206627,31.5,0,0.0483,0.043632,0,6.817456866804693,73.83364389233955,19.881027253668762,7.618584905660377,0.17729166666666668,0.20208631066073016,NA,NA,0.07572815685666846
A,pulsed,149,BASE,NA,NA,NA,NA,NA,NA,NA,7.257719065477069,-7.113463909060977,0.14425515641609188,NA,NA,NA,NA,NA,6.018518518518518,64.56296296296297,20.68562091503268,9.094588235294118,1.0485416666666667,1.1951826105234487,NA,NA,0.0834139336657495
A,pulsed,150,BASE,1,2.1938294141136225,-8.890369676000045,0.0017750537301011672,3.7828514740212116,0.010983055669011216,0.8074048306387844,NA,NA,NA,40.5,0,0.069543,0.051769,NA,4.860089743589744,49.176314102564106,20.34269662921348,5.7423595505617975,0.954375,1.0878465207248,NA,NA,0.09234463866681661
A,pulsed,151,BASE,NA,NA,NA,NA,NA,NA,NA,0.9914973491209955,-5.282115185986128,-4.290617836865133,NA,NA,NA,NA,NA,7.339124999999999,79.6438888888889,20.676767676767675,7.847954545454545,0.4510416666666667,0.5141208725975097,NA,NA,0.10630748209116386
A,pulsed,152,BASE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.737377622377623,83.17762237762237,20.724867724867725,5.5384761904761906,0.6295833333333334,0.7176319986095494,NA,NA,0.11173052141428125
A,pulsed,153,BASE,2,5.965456173782351,-10.464348032800027,8.972266216716337e-4,9.076209320555616,0.008777247346097748,0.6042253387672107,1.8823552250050728,-1.707259132225097,0.17509609277997584,234.45,0,0.19521,0,NA,8.306040404040404,87.42737373737374,19.913043478260867,3.815434782608696,1.5616666666666668,1.7800693122359967,1.645937249083833e-4,0.007714654073402031,0.11217002970775185
A,pulsed,154,BASE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.692096153846153,105.3602564102564,21.91256830601093,2.118196721311475,1.4364583333333334,1.6373503078798288,NA,NA,0.10736174797355023
A,pulsed,155,BASE,2,4.869922342360933,-7.554237685586591,0.0011638730106410709,8.230731681594243,0.008354783521269055,0.7119666625116718,3.7871583031400324,-4.858912475691232,-1.0717541725511999,23.75,0,0.19158,0.08038,0.05675,10.383932072829133,110.57741596638655,23.839371980676326,2.796521739130435,0.5972916666666667,0.6808242687007207,NA,NA,0.10625464272600636
A,pulsed,156,BASE,NA,NA,NA,NA,NA,NA,NA,1.3405711220726695,-1.6675371902348228,-0.32696606816215334,NA,NA,NA,NA,NA,8.693645050125314,98.44313909774436,24.8359173126615,2.986162790697674,0.3770833333333333,0.42981929764503124,NA,NA,0.11230069491504344
A,pulsed,157,BASE,2,15.465707476289998,-7.568502546053908,5.839645744483143e-4,25.618208017867182,0.007025363990267962,1.4672045375288585,3.917159324457955,-5.051161909940068,-1.1340025854821127,30.2,0,0.307475,0.0336375,NA,9.863777777777779,112.05333333333333,25.636092468307233,2.6346979865771814,0.5764583333333333,0.6570773461788958,NA,NA,0.12652405178908224
