"pond_id","week","doy","ch4_rate","co2_rate","n2o_rate"
"A",1,146,0.00597073364614077,0.0110292996717276,0
"A",2,153,0.00771465407340203,0.0160632350008009,0
"A",3,160,0.00203515396444902,0.0363405712727142,0
"A",4,168,0.00614505790215105,0.0608394098033172,0
"A",5,173,0.00104765887311285,0.0280205354608453,0
"A",6,180,0.00107762224236494,0.0341310946460733,0
"A",7,189,0.00550883796168681,0.0691588602727729,0
"A",8,196,0.00990835561875517,0.0969966855233273,0
"A",9,204,0.000834924237367359,0.0277272995607439,0
"A",10,210,0.00595631486143551,0.0887743981460782,0
"A",11,216,0.00179442734675219,0.0399449828479746,0
"A",12,222,0.00150057820109154,0.0341491701103549,0
"A",13,229,0.00127379616230102,0.0405804869401855,0
"A",14,236,0.00150360557360811,0.0483058606827773,0
"B",1,146,0.00607566063278836,0.0142207475987761,0
"B",2,153,0.00705538021670614,0.0221483587968019,0
"B",3,160,0.00218740866298526,0.0417792765351969,0
"B",4,168,0.0036105796614092,0.0475979953342758,0
"B",5,173,0.000904103615009452,0.0212104346398704,0
"B",6,180,0.00076602655879914,0.021867060099707,0
"B",7,189,0.00471280425532515,0.0524897672577218,0
"B",8,196,0.00353824098748713,0.0545356220779811,0
"B",9,204,0.000847092712714156,0.0238486716361227,0
"B",10,210,0.00325058028316074,0.0493515304698527,0
"B",11,216,0.00167031729881469,0.0319836481932837,0
"B",12,222,0.000761965288443837,0.0227822998044587,0
"B",13,229,0.000852756049241828,0.0248456763134381,0
"B",14,236,0.000661838550515336,0.0370993528861065,0
"C",1,146,0.0021406997429059,0.0107684343867647,0
"C",2,153,0.00491932969906041,0.0122339483105518,0
"C",3,160,0.00110320021492338,0.0294503864025511,0
"C",4,168,0.0039606372657142,0.0444590619252895,0
"C",5,173,0.000807415254419995,0.0218837210121204,0
"C",6,180,0.000897294186620506,0.0193200170619862,0
"C",7,189,0.00637829798048705,0.0547041157539184,0
"C",8,196,0.00470282115215968,0.0428788565110406,0
"C",9,204,0.00123052170508966,0.0279100663621445,0
"C",10,210,0.00209536214567005,0.0384689419920201,0
"C",11,216,0.00192461348948201,0.0387402384797684,0
"C",12,222,0.00103362191459575,0.0294524975141459,0
"C",13,229,0.00136727585367727,0.0269642830029199,0
"C",14,236,0.00169529605623098,0.0409989141631065,0
"D",1,146,0.00297359047110278,0.0105518922963477,0
"D",2,153,0.0076884597104766,0.0121851356855264,0
"D",3,160,0.00210933353283294,0.0407170358627376,2.79522480162254e-06
"D",4,168,0.00448418177580745,0.0458115718321661,0
"D",5,173,0.000781848605305558,0.017198024459901,0
"D",6,180,0.000800920677011433,0.0234091646514837,0
"D",7,189,0.00721623730684013,0.0575383185174836,0
"D",8,196,0.00660210114846042,0.0792136203505114,0
"D",9,204,0.00128713447304515,0.0300675369211316,0
"D",10,210,0.00480522097158794,0.0536286301907828,0
"D",11,216,0.00241592775314433,0.0460981868616559,0
"D",12,222,0.0016430553501127,0.0352925221504116,0
"D",13,229,0.00124486501314221,0.0331619218299165,0
"D",14,236,0.0011953091573687,0.044768380736929,0
"E",1,146,0.00313369685992948,0.013255284723088,0
"E",2,153,0.00615568128863659,0.0131415933839108,0
"E",3,160,0.00588396082733466,0.0519335963273959,0
"E",4,168,0.00751614214461184,0.0527468046733969,0
"E",5,173,0.001054597741271,0.0159911179680585,0
"E",6,180,0.00118780266916832,0.0218493496658549,0
"E",7,189,0.00921847771339042,0.0623495614050968,0
"E",8,196,0.0149921521316926,0.0885435480371622,0
"E",9,204,0.00128295473796308,0.0326180849065675,0
"E",10,210,0.00551957811733867,0.0592681061002008,0
"E",11,216,0.00639952116795662,0.0782420074162072,0
"E",12,222,0.00151172038060378,0.0326929889825109,0
"E",13,229,0.00197149150136684,0.0276737023608626,0
"E",14,236,0.00111590425936049,0.0417818448526734,0
"F",1,146,0.00172791514526769,0.0108271205310504,0
"F",2,153,0.00218396626854567,0.0111911543112757,0
"F",3,160,0.00163089225225593,0.0317656291765102,-2.84896976058708e-06
"F",4,168,0.00464937060499181,0.0456484840452691,0
"F",5,173,0.000938268881717402,0.0155106054564839,0
"F",6,180,0.000940790179461039,0.0206537321516012,0
"F",7,189,0.00781548426205513,0.0597979030746732,0
"F",8,196,0.00882475463301664,0.0748837311763538,0
"F",9,204,0.00112252560303309,0.0254373509606096,0
"F",10,210,0.0036305953214471,0.0454199291208834,0
"F",11,216,0.00312590345683953,0.0485209198752194,0
"F",12,222,0.0069652221832693,0.0395854911082066,0
"F",13,229,0.00108113396695339,0.0311511222862947,0
"F",14,236,0.000909704652986064,0.0387319624226355,0
