"pond_id","week","doy","ch4_ebu_flux"
"A",2,153,0
"A",3,160,0
"A",4,167,0
"A",5,174,8.66653869194147
"A",6,180,0.169788677670214
"A",7,189,1.43994948371483
"A",8,195,3.24029331833447
"A",9,202,0
"A",10,209,5.81501079160793
"A",11,216,2.51555734650229
"A",12,222,7.90554994510713
"A",13,229,0
"A",14,236,1.69709567519268
"B",2,153,0
"B",3,160,8.18257662696761
"B",4,167,7.7144067291074
"B",5,174,7.79077926676806
"B",6,180,13.7522022882763
"B",7,189,11.9879345328345
"B",8,195,0
"B",9,202,0
"B",10,209,0
"B",11,216,1.31978125664715
"B",12,222,0
"B",13,229,0
"B",14,236,1.7644656220549
"C",2,153,0
"C",3,160,0
"C",4,167,0
"C",5,174,1.73826667706582
"C",6,180,0
"C",7,189,0
"C",8,195,2.17099143737773
"C",9,202,0
"C",10,209,0
"C",11,216,0
"C",12,222,7.16524438340444
"C",13,229,0
"C",14,236,0
"D",2,153,0
"D",3,160,0
"D",4,167,0
"D",5,174,0
"D",6,180,0
"D",7,189,7.38226920947163
"D",8,195,0
"D",9,202,9.07191636060529
"D",10,209,0
"D",11,216,0
"D",12,222,12.4833953276867
"D",13,229,0
"D",14,236,0
"E",2,153,0
"E",3,160,0
"E",4,167,0
"E",5,174,2.13491417107779
"E",6,180,0.573723767850252
"E",7,189,5.22017225820569
"E",8,195,3.1095577219757
"E",9,202,10.6820685547261
"E",10,209,0
"E",11,216,1.38929227350667
"E",12,222,0
"E",13,229,0
"E",14,236,1.91371721537996
"F",2,153,0.643582031225678
"F",3,160,0
"F",4,167,0
"F",5,174,7.2587044732164
"F",6,180,4.49555645243629
"F",7,189,2.03909250999493
"F",8,195,0
"F",9,202,4.38926318154325
"F",10,209,0
"F",11,216,3.94308630747221
"F",12,222,11.1435330054559
"F",13,229,0.347307283974775
"F",14,236,0
