pond_id,treatment,date,doy,period,period2,week,ch4_flux,co2_flux,n2o_flux,ch4_lake,n2o_lake,co2_lake,GPP,R,NEP,tp,srp,tn,nox,nhx,bottom_do,bottom_do_sat,temp,chla,surface_do,surface_do_sat,wind_speed,wind_U10,DEA,methanogenesis,alkalinity,ph,doc_ppb,np_ratio,doc_ppm
A,pulsed,2020-05-22,142,BASE,BASE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.82675,98.0625,16.37037037,30.955925925925925,16.941481481481482,173.15925925925927,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,pulsed,2020-05-23,143,BASE,BASE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.2,0,0.2484,0.042644,NA,8.220833333333333,83.04166666666666,16.212962961666666,15.315555555555555,12.385555555555555,126.11666666666667,NA,NA,NA,NA,NA,NA,7329.775,12.71891293479037,7.329775
A,pulsed,2020-05-24,144,BASE,BASE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5696666666666665,55.79666666666667,17.12018140632653,10.937755102040816,15.716326530612244,163.24081632653062,0.3358333333333333,0.3828003910518179,NA,NA,NA,NA,NA,NA,NA
A,pulsed,2020-05-25,145,BASE,BASE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9528125,29.268749999999997,17.53317901347222,9.85138888888889,16.05625,168.24722222222223,0.5549999999999999,0.6326180159814161,NA,NA,NA,NA,NA,NA,NA
A,pulsed,2020-05-26,146,BASE,BASE,1,4.1536309799447455,-7.91962160161188,0.002440616831382509,8.613511651535708,0.012036283820363905,0.7694261971440347,6.1430575119457345,-2.595858683843991,3.5471988281017435,33.95,0,0.427385,0.026329,NA,4.293916666666666,42.44333333333333,18.587606837307693,9.708076923076923,16.61423076923077,178.2923076923077,0.29354166666666665,0.3345941383325133,1.9562079257936369e-4,0.0059707336461407665,112.09,NA,23729.775,27.84592484925598,23.729775
A,pulsed,2020-05-27,147,BASE,BASE,NA,NA,NA,NA,NA,NA,NA,0.2669933894738722,-0.3195875301993437,-0.05259414072547153,NA,NA,NA,NA,NA,5.9025,59.9625,19.661904761142857,9.042,13.226285714285714,144.78857142857143,0.51375,0.5855991093882028,NA,NA,NA,NA,NA,NA,NA
A,pulsed,2020-05-28,148,BASE,BASE,1,1.9902400903426354,-7.893584606181184,0.0013886242669556557,4.042685217369592,0.010720805520490859,0.7886759136929962,NA,NA,NA,31.5,0,0.0483,0.043632,0,3.4204710144927537,34.15760869565217,20.172705313804347,7.6070652173913045,14.829673913043479,163.85,0.17729166666666668,0.20208631066073016,NA,NA,130.98,NA,6989.775,3.3917101159440994,6.989775
A,pulsed,2020-05-29,149,BASE,BASE,NA,NA,NA,NA,NA,NA,NA,3.2644069142162335,-3.9410706600733714,-0.6766637458571378,NA,NA,NA,NA,NA,4.017777777777778,40.06944444444444,20.933489827042255,8.734225352112675,12.41943661971831,139.1169014084507,1.0485416666666667,1.1951826105234487,NA,NA,NA,NA,NA,NA,NA
A,pulsed,2020-05-30,150,BASE,BASE,1,2.1928140853361775,-8.891714220148854,0.0017749162050009842,3.783257744418055,0.0109905834085966,0.8073185185914258,NA,NA,NA,40.5,0,0.069543,0.051769,NA,4.39475,44.060625,20.37646198657895,5.0575,14.388684210526316,159.56315789473683,0.954375,1.0878465207248,NA,NA,140.22,NA,7019.775,3.7982237776666743,7.019774999999999
A,pulsed,2020-05-31,151,BASE,BASE,NA,NA,NA,NA,NA,NA,NA,2.744269895134504,-8.166690501186174,-5.42242060605167,NA,NA,NA,NA,NA,3.5896875,36.59583333333333,20.70495495364865,8.169054054054055,15.01,167.54594594594596,0.4510416666666667,0.5141208725975097,NA,NA,NA,NA,NA,NA,NA
A,pulsed,2020-06-01,152,BASE,BASE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.657884615384615,47.13461538461539,20.74054373595745,5.568297872340425,14.40468085106383,160.8712765957447,0.6295833333333334,0.7176319986095494,NA,NA,NA,NA,NA,NA,NA
A,pulsed,2020-06-02,153,BASE,BASE,2,5.962569155681381,-10.465913016494262,8.97297302517703e-4,9.07721660029951,0.008783855285879936,0.6040598448775694,2.030873308798326,-0.5385080749977995,1.4923652338005267,234.45,0,0.19521,0,NA,7.7260606060606065,81.0060606060606,19.919753084444444,3.865277777777778,13.573055555555555,149.14444444444445,1.5616666666666668,1.7800693122359967,1.645937249083833e-4,0.007714654073402031,122.64,NA,7329.775,1.841763976003359,7.329775
A,pulsed,2020-06-03,154,BASE,BASE,NA,NA,NA,NA,NA,NA,NA,1.8813314124350051,-1.1727836132473513,0.7085477991876539,NA,NA,NA,NA,NA,8.642519230769231,90.46538461538461,21.9488888886,2.0622,11.9016,136.102,1.4364583333333334,1.6373503078798288,NA,NA,NA,NA,NA,NA,NA
A,pulsed,2020-06-04,155,BASE,BASE,2,4.860224690147571,-7.560088917738665,0.0011639289782611388,8.234619049382548,0.008380958813090353,0.7111295718828193,1.0796233455675115,-0.9303092391475274,0.1493141064199841,23.75,0,0.19158,0.08038,0.05675,10.165183823529413,107.67683823529413,23.92877492948718,2.6637179487179488,10.773461538461538,127.88205128205128,0.5972916666666667,0.6808242687007207,NA,NA,121.32,NA,16029.775,17.84303406899507,16.029775
A,pulsed,2020-06-05,156,BASE,BASE,NA,NA,NA,NA,NA,NA,NA,2.2876524295178884,-1.412914582262896,0.8747378472549925,NA,NA,NA,NA,NA,7.6147532894736845,82.00756578947369,24.87912912662162,2.893918918918919,10.866891891891893,131.33513513513515,0.3770833333333333,0.42981929764503124,NA,NA,NA,NA,NA,NA,NA
A,pulsed,2020-06-06,157,BASE,BASE,2,15.457174229679339,-7.570145062498775,5.841493745864736e-4,25.621553667241592,0.007031797834893898,1.4676011638364033,2.8494034017925953,-3.4472738715679454,-0.5978704697753501,30.2,0,0.307475,0.0336375,NA,9.810666666666666,106.88,25.664021164603174,2.4776190476190476,9.858253968253969,120.85,0.5764583333333333,0.6570773461788958,NA,NA,144.32,NA,7919.775,22.520862393461965,7.919775
A,pulsed,2020-06-07,158,BASE,BASE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.544857954545455,93.7590909090909,25.539393942545452,1.5765454545454545,9.861454545454546,120.6290909090909,0.839375,0.9567635084043264,NA,NA,NA,NA,NA,NA,NA
A,pulsed,2020-06-08,159,BASE,BASE,NA,NA,NA,NA,NA,NA,NA,2.6023106213420926,-0.516024447217265,2.0862861741248278,NA,NA,NA,NA,NA,7.88900641025641,86.40865384615384,24.760536399310347,1.4327586206896552,9.028620689655172,108.9,1.4260416666666667,1.6254768466189164,NA,NA,NA,NA,NA,NA,NA
A,pulsed,2020-06-09,160,BASE,BASE,3,19.757235971037943,-7.587041459751488,-3.5912982449011916e-4,31.053110044236035,0.005324614972492318,1.8863287385101528,3.5366087444522414,-3.2122986219871974,0.324310122465044,28.3,0,0.30486,0.160735,NA,5.916666666666666,63.94166666666667,25.18964076819549,1.8142105263157895,8.944812030075187,108.71203007518797,1.0583333333333333,1.2063436641087064,2.0060138650844476e-4,0.0020351539644490216,129.78,NA,8249.775,23.828470101706518,8.249775
