Software Version:,1.06 Rev 101,,,,,,,,,,,,,,,,,,
Date:,02/07/2022 15:11:47,,,,,,,,,,,,,,,,,,
===============,,,,,,,,,,,,,,,,,,,
Analyzer,Protocol Name,Protocol Date,Protocol Date End,Protocol Type,Vial Size,Operator,Comments,Performed By Certified FSE,,,,,,,,,,,
1566,RAJ_Ponds_Run4_22.02.03,02/03/2022 16:20:08,02/05/2022 10:25:32,Autosampler,17,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sample Name,Lot #,Sample Type,Start Time,End Time,Vial #,Turbo,Autoreagents,ICR,Flush Time (sec),TOC Average (ppb),TOC Standard Deviation (ppb),TOC RSD (%),IC Average (ppb),IC Standard Deviation (ppb),IC RSD (%),TC Average (ppb),TC Standard Deviation (ppb),TC RSD (%),
Blank,,Blank,02/03/2022 16:20:19,02/03/2022 16:48:01,1,False,True,False,240,184,1,0.54,533,0.58,0.11,717,1.15,0.16,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,02/03/2022 16:20:19,02/03/2022 16:42:01,157,517,674,1,0,,,,,,,,,,,
2,,02/03/2022 16:42:01,02/03/2022 16:44:01,184,534,718,1,0,,,,,,,,,,,
3,,02/03/2022 16:44:01,02/03/2022 16:46:01,185,533,718,1,0,,,,,,,,,,,
4,,02/03/2022 16:46:01,02/03/2022 16:48:01,183,533,716,1,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Blank,,Blank,02/03/2022 16:48:15,02/03/2022 17:16:34,2,False,True,False,240,9.6,0.7,7.29,50,1.6,3.21,59.6,1.44,2.42,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,02/03/2022 16:48:15,02/03/2022 17:10:34,5.5,57.4,62.9,0.3,0,,,,,,,,,,,
2,,02/03/2022 17:10:34,02/03/2022 17:12:34,10.3,50.1,60.4,0.3,0,,,,,,,,,,,
3,,02/03/2022 17:12:34,02/03/2022 17:14:34,9.6,48.3,57.9,0.3,0,,,,,,,,,,,
4,,02/03/2022 17:14:34,02/03/2022 17:16:34,8.9,51.5,60.4,0.3,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
13,,Sample,02/03/2022 17:16:48,02/03/2022 17:45:06,3,False,True,False,240,7550,10,0.13,577,4.04,0.7,8130,15.3,0.19,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,02/03/2022 17:16:48,02/03/2022 17:39:05,7490,564,8050,1,1.4,,,,,,,,,,,
2,,02/03/2022 17:39:05,02/03/2022 17:41:05,7550,579,8130,1,1.4,,,,,,,,,,,
3,,02/03/2022 17:41:05,02/03/2022 17:43:05,7540,572,8110,1,1.4,,,,,,,,,,,
4,,02/03/2022 17:43:05,02/03/2022 17:45:06,7560,579,8140,1,1.4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
14,,Sample,02/03/2022 17:45:19,02/03/2022 18:13:25,4,False,True,False,240,7400,20,0.27,547,5.69,1.04,7950,15.3,0.19,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,02/03/2022 17:45:19,02/03/2022 18:07:25,7350,534,7880,1,1.4,,,,,,,,,,,
2,,02/03/2022 18:07:25,02/03/2022 18:09:25,7420,541,7960,1,1.4,,,,,,,,,,,
3,,02/03/2022 18:09:25,02/03/2022 18:11:25,7380,549,7930,1,1.4,,,,,,,,,,,
4,,02/03/2022 18:11:25,02/03/2022 18:13:25,7400,552,7950,1,1.4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
16,,Sample,02/03/2022 18:13:39,02/03/2022 18:41:44,5,False,True,False,240,28200,57.7,0.2,489,4.73,0.97,28700,57.7,0.2,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,02/03/2022 18:13:39,02/03/2022 18:35:44,28100,473,28600,1,4.5,,,,,,,,,,,
2,,02/03/2022 18:35:44,02/03/2022 18:37:44,28200,484,28700,1,4.5,,,,,,,,,,,
3,,02/03/2022 18:37:44,02/03/2022 18:39:44,28200,491,28700,1,4.5,,,,,,,,,,,
4,,02/03/2022 18:39:44,02/03/2022 18:41:44,28300,493,28800,1,4.5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
17,,Sample,02/03/2022 18:41:58,02/03/2022 19:10:08,6,False,True,False,240,15800,< 0.03,< 0.03,524,6.35,1.21,16300,0,0,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,02/03/2022 18:41:58,02/03/2022 19:04:07,15700,519,16200,1,2.6,,,,,,,,,,,
2,,02/03/2022 19:04:07,02/03/2022 19:06:08,15800,520,16300,1,2.6,,,,,,,,,,,
3,,02/03/2022 19:06:08,02/03/2022 19:08:07,15800,520,16300,1,2.6,,,,,,,,,,,
4,,02/03/2022 19:08:07,02/03/2022 19:10:08,15800,531,16300,1,2.6,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
18,,Sample,02/03/2022 19:10:21,02/03/2022 19:38:28,7,False,True,False,240,38100,57.7,0.15,605,22.6,3.74,38700,57.7,0.15,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,02/03/2022 19:10:21,02/03/2022 19:32:28,37900,590,38500,1,6.2,,,,,,,,,,,
2,,02/03/2022 19:32:28,02/03/2022 19:34:28,38100,584,38700,1,6.2,,,,,,,,,,,
3,,02/03/2022 19:34:28,02/03/2022 19:36:28,38200,602,38800,1,6.2,,,,,,,,,,,
4,,02/03/2022 19:36:28,02/03/2022 19:38:28,38100,629,38700,1,6.2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
19,,Sample,02/03/2022 19:38:42,02/03/2022 20:06:54,8,False,True,False,240,26900,208,0.77,554,14,2.53,27500,265,0.96,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,02/03/2022 19:38:42,02/03/2022 20:00:54,27100,528,27600,1,4.3,,,,,,,,,,,
2,,02/03/2022 20:00:54,02/03/2022 20:02:53,26700,540,27200,1,4.3,,,,,,,,,,,
3,,02/03/2022 20:02:53,02/03/2022 20:04:54,27100,555,27700,1,4.3,,,,,,,,,,,
4,,02/03/2022 20:04:54,02/03/2022 20:06:54,27000,568,27600,1,4.3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
20,,Sample,02/03/2022 20:07:08,02/03/2022 20:35:17,9,False,True,False,240,22800,153,0.67,518,1.53,0.3,23300,153,0.65,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,02/03/2022 20:07:08,02/03/2022 20:29:17,22800,518,23300,1,3.6,,,,,,,,,,,
2,,02/03/2022 20:29:17,02/03/2022 20:31:17,22700,518,23200,1,3.6,,,,,,,,,,,
3,,02/03/2022 20:31:17,02/03/2022 20:33:17,23000,519,23500,1,3.6,,,,,,,,,,,
4,,02/03/2022 20:33:17,02/03/2022 20:35:17,22800,516,23300,1,3.6,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
21,,Sample,02/03/2022 20:35:33,02/03/2022 21:03:42,10,False,True,False,240,28300,100,0.35,563,10.1,1.8,28900,100,0.35,
