run,vial,sample_id
4,1,Blank
4,2,Blank
4,13,E20C167
4,14,E20C169
4,16,E20C171
4,17,E20C174
4,18,E20C175
4,19,E20C176
4,20,E20C177
4,21,E20C178
4,22,E20C181
4,23,E20C183
4,24,E20C185
4,25,E20C188
4,26,E20C190
4,27,E20C192
4,28,Blank
4,29,E20C195
4,30,E20C197
4,31,E20C199
4,32,E20C202
4,33,E20C204
4,34,E20C206
4,35,E20C209
4,36,E20C210
4,37,E20C211
4,38,E20C212
4,39,E20C213
4,40,E20C216
4,41,Blank
4,42,E20C218
4,43,E20C220
4,44,E20C222
4,45,E20C224
4,46,E20C226
4,47,E20C229
4,48,E20C231
4,49,E20C233
4,50,E20C236
4,51,E20C238
4,52,E20C240
4,53,Blank
4,54,E20D153
4,55,E20D155
4,56,E20D157
4,57,E20D160
4,58,E20D162
4,59,E20D164
4,60,E20D167
4,61,E20D169
4,62,E20D171
4,63,E20D174
4,64,E20D175
4,65,E20D176
4,66,Blank
4,67,E20D177
4,68,E20D178
4,69,E20D181
4,70,E20D183
4,71,E20D185
4,72,E20D188
4,73,E20D190
4,74,E20D192
4,75,E20D195
4,76,E20D197
4,77,E20D199
4,78,E20D202
4,79,Blank
4,80,E20D204
4,81,E20D206
4,82,E20D209
4,83,E20D210
4,84,E20D211
4,85,E20D212
4,86,E20D213
4,87,E20D216
4,88,E20D218
4,89,E20D220
4,90,E20D222
4,91,E20D224
4,92,Blank
4,93,E20D226
4,94,E20D229
4,95,E20D231
4,96,E20D233
4,97,E20D236
4,98,E20D238
4,99,E20D240
4,100,Blank
