Software Version:,1.06 Rev 101,,,,,,,,,,,,,,,,,,
Date:,01/25/2022 15:03:35,,,,,,,,,,,,,,,,,,
===============,,,,,,,,,,,,,,,,,,,
Analyzer,Protocol Name,Protocol Date,Protocol Date End,Protocol Type,Vial Size,Operator,Comments,Performed By Certified FSE,,,,,,,,,,,
1566,RAJ_Ponds_Run2_22.01.23,01/23/2022 14:42:26,01/25/2022 14:28:14,Autosampler,17,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sample Name,Lot #,Sample Type,Start Time,End Time,Vial #,Turbo,Autoreagents,ICR,Flush Time (sec),TOC Average (ppb),TOC Standard Deviation (ppb),TOC RSD (%),IC Average (ppb),IC Standard Deviation (ppb),IC RSD (%),TC Average (ppb),TC Standard Deviation (ppb),TC RSD (%),
Blank,,Blank,01/23/2022 14:42:36,01/23/2022 15:10:18,1,False,True,False,240,17.7,0.06,0.33,53.8,1.03,1.91,71.5,0.98,1.38,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/23/2022 14:42:36,01/23/2022 15:04:18,11.7,57.7,69.4,0.3,0,,,,,,,,,,,
2,,01/23/2022 15:04:18,01/23/2022 15:06:18,17.7,54.9,72.6,0.3,0,,,,,,,,,,,
3,,01/23/2022 15:06:18,01/23/2022 15:08:18,17.7,53.5,71.2,0.3,0,,,,,,,,,,,
4,,01/23/2022 15:08:18,01/23/2022 15:10:18,17.8,52.9,70.7,0.3,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Blank,,Blank,01/23/2022 15:10:32,01/23/2022 15:38:50,2,False,True,False,240,109,2,1.83,91.6,3.65,3.99,201,3.21,1.6,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/23/2022 15:10:32,01/23/2022 15:32:50,95.1,92.9,188,0.3,0,,,,,,,,,,,
2,,01/23/2022 15:32:50,01/23/2022 15:34:50,107,95.2,202,0.3,0,,,,,,,,,,,
3,,01/23/2022 15:34:50,01/23/2022 15:36:50,111,91.7,203,0.3,0,,,,,,,,,,,
4,,01/23/2022 15:36:50,01/23/2022 15:38:50,109,87.9,197,0.3,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
3,B,Sample,01/23/2022 15:39:04,01/23/2022 16:07:23,3,False,True,False,240,17500,57.7,0.33,200,0.58,0.29,17700,57.7,0.33,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/23/2022 15:39:04,01/23/2022 16:01:22,17400,196,17600,1,3,,,,,,,,,,,
2,,01/23/2022 16:01:22,01/23/2022 16:03:23,17600,199,17800,1,3,,,,,,,,,,,
3,,01/23/2022 16:03:23,01/23/2022 16:05:22,17500,200,17700,1,3,,,,,,,,,,,
4,,01/23/2022 16:05:22,01/23/2022 16:07:23,17500,200,17700,1,3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
4,B,Sample,01/23/2022 16:07:36,01/23/2022 16:35:44,4,False,True,False,240,22800,100,0.44,197,1,0.51,23000,100,0.43,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/23/2022 16:07:36,01/23/2022 16:29:44,22700,193,22900,1,3.9,,,,,,,,,,,
2,,01/23/2022 16:29:44,01/23/2022 16:31:44,22900,196,23100,1,3.9,,,,,,,,,,,
3,,01/23/2022 16:31:44,01/23/2022 16:33:44,22800,197,23000,1,3.9,,,,,,,,,,,
4,,01/23/2022 16:33:44,01/23/2022 16:35:44,22700,198,22900,1,3.9,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
5,B,Sample,01/23/2022 16:35:58,01/23/2022 17:04:07,5,False,True,False,240,24000,100,0.42,233,1.73,0.74,24200,100,0.41,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/23/2022 16:35:58,01/23/2022 16:58:07,23700,227,23900,1,4.1,,,,,,,,,,,
2,,01/23/2022 16:58:07,01/23/2022 17:00:07,23900,231,24100,1,4.1,,,,,,,,,,,
3,,01/23/2022 17:00:07,01/23/2022 17:02:07,24000,234,24200,1,4.1,,,,,,,,,,,
4,,01/23/2022 17:02:07,01/23/2022 17:04:07,24100,234,24300,1,4.1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
6,B,Sample,01/23/2022 17:04:20,01/23/2022 17:32:29,6,False,True,False,240,30100,173,0.58,193,0.58,0.3,30300,173,0.57,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/23/2022 17:04:20,01/23/2022 17:26:29,29800,189,30000,1,5.5,,,,,,,,,,,
2,,01/23/2022 17:26:29,01/23/2022 17:28:29,30000,192,30200,1,5.5,,,,,,,,,,,
3,,01/23/2022 17:28:29,01/23/2022 17:30:29,30300,193,30500,1,5.5,,,,,,,,,,,
4,,01/23/2022 17:30:29,01/23/2022 17:32:29,30000,193,30200,1,5.5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Blank,,Blank,01/23/2022 17:32:43,01/23/2022 18:00:54,7,False,True,False,240,122,6,4.92,97.7,3.3,3.38,220,9.5,4.33,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/23/2022 17:32:43,01/23/2022 17:54:53,119,102,221,0.3,0,,,,,,,,,,,
2,,01/23/2022 17:54:53,01/23/2022 17:56:54,128,101,229,0.3,0,,,,,,,,,,,
3,,01/23/2022 17:56:54,01/23/2022 17:58:53,122,97.6,220,0.3,0,,,,,,,,,,,
4,,01/23/2022 17:58:53,01/23/2022 18:00:54,116,94.4,210,0.3,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
8,E,Sample,01/23/2022 18:01:07,01/23/2022 18:29:25,8,False,True,False,240,33800,153,0.45,201,1.15,0.58,34000,153,0.45,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/23/2022 18:01:07,01/23/2022 18:23:25,33600,197,33800,1,5.8,,,,,,,,,,,
2,,01/23/2022 18:23:25,01/23/2022 18:25:25,34000,200,34200,1,5.8,,,,,,,,,,,
3,,01/23/2022 18:25:25,01/23/2022 18:27:25,33800,200,34000,1,5.8,,,,,,,,,,,
4,,01/23/2022 18:27:25,01/23/2022 18:29:25,33700,202,33900,1,5.8,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
9,E,Sample,01/23/2022 18:29:39,01/23/2022 18:57:50,9,False,True,False,240,8930,30,0.34,452,0.58,0.13,9380,30,0.32,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/23/2022 18:29:39,01/23/2022 18:51:50,8910,460,9370,1,2,,,,,,,,,,,
2,,01/23/2022 18:51:50,01/23/2022 18:53:50,8930,452,9380,1,2,,,,,,,,,,,
3,,01/23/2022 18:53:50,01/23/2022 18:55:51,8960,452,9410,1,2,,,,,,,,,,,
4,,01/23/2022 18:55:51,01/23/2022 18:57:50,8900,453,9350,1,2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
10,E,Sample,01/23/2022 18:58:04,01/23/2022 19:26:10,10,False,True,False,240,7260,30.6,0.42,242,1.15,0.48,7500,30.6,0.41,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/23/2022 18:58:04,01/23/2022 19:20:10,7240,246,7490,1,1.4,,,,,,,,,,,
2,,01/23/2022 19:20:10,01/23/2022 19:22:10,7230,243,7470,1,1.4,,,,,,,,,,,
3,,01/23/2022 19:22:10,01/23/2022 19:24:10,7290,241,7530,1,1.4,,,,,,,,,,,
4,,01/23/2022 19:24:10,01/23/2022 19:26:10,7250,243,7490,1,1.4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
11,E,Sample,01/23/2022 19:26:26,01/23/2022 19:54:31,11,False,True,False,240,7620,40,0.52,661,11,1.66,8280,45.8,0.55,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/23/2022 19:26:26,01/23/2022 19:48:31,7510,628,8140,1,1.5,,,,,,,,,,,
2,,01/23/2022 19:48:31,01/23/2022 19:50:31,7580,649,8230,1,1.5,,,,,,,,,,,
3,,01/23/2022 19:50:31,01/23/2022 19:52:31,7660,665,8320,1,1.5,,,,,,,,,,,
4,,01/23/2022 19:52:31,01/23/2022 19:54:31,7620,670,8290,1,1.5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
12,E,Sample,01/23/2022 19:54:45,01/23/2022 20:22:51,12,False,True,False,240,7650,5.77,0.08,939,10.6,1.13,8590,15.3,0.18,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/23/2022 19:54:45,01/23/2022 20:16:51,7630,974,8600,1,1.5,,,,,,,,,,,
2,,01/23/2022 20:16:51,01/23/2022 20:18:51,7650,943,8590,1,1.5,,,,,,,,,,,
3,,01/23/2022 20:18:51,01/23/2022 20:20:51,7640,927,8570,1,1.5,,,,,,,,,,,
4,,01/23/2022 20:20:51,01/23/2022 20:22:51,7650,947,8600,1,1.5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
13,E,Sample,01/23/2022 20:23:04,01/23/2022 20:51:09,13,False,True,False,240,9280,37.9,0.41,272,1.53,0.56,9550,37.9,0.4,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/23/2022 20:23:04,01/23/2022 20:45:09,9210,270,9480,1,1.8,,,,,,,,,,,
2,,01/23/2022 20:45:09,01/23/2022 20:47:09,9320,271,9590,1,1.8,,,,,,,,,,,
3,,01/23/2022 20:47:09,01/23/2022 20:49:09,9250,272,9520,1,1.8,,,,,,,,,,,
4,,01/23/2022 20:49:09,01/23/2022 20:51:09,9260,274,9530,1,1.8,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
14,E,Sample,01/23/2022 20:51:23,01/23/2022 21:19:28,14,False,True,False,240,8140,26.5,0.33,221,1,0.45,8360,26.5,0.32,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/23/2022 20:51:23,01/23/2022 21:13:28,8090,219,8310,1,1.6,,,,,,,,,,,
2,,01/23/2022 21:13:28,01/23/2022 21:15:29,8130,220,8350,1,1.6,,,,,,,,,,,
3,,01/23/2022 21:15:29,01/23/2022 21:17:28,8120,221,8340,1,1.6,,,,,,,,,,,
4,,01/23/2022 21:17:28,01/23/2022 21:19:28,8170,222,8390,1,1.6,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
15,E,Sample,01/23/2022 21:19:42,01/23/2022 21:47:47,15,False,True,False,240,14000,57.7,0.41,199,1,0.5,14200,57.7,0.41,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/23/2022 21:19:42,01/23/2022 21:41:47,14000,196,14200,1,2.4,,,,,,,,,,,
2,,01/23/2022 21:41:47,01/23/2022 21:43:47,14000,198,14200,1,2.4,,,,,,,,,,,
3,,01/23/2022 21:43:47,01/23/2022 21:45:47,14100,200,14300,1,2.4,,,,,,,,,,,
4,,01/23/2022 21:45:47,01/23/2022 21:47:47,14000,199,14200,1,2.4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
16,E,Sample,01/23/2022 21:48:00,01/23/2022 22:16:06,16,False,True,False,240,23500,100,0.43,209,1.53,0.73,23700,100,0.42,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/23/2022 21:48:00,01/23/2022 22:10:06,23500,206,23700,1,4.1,,,,,,,,,,,
2,,01/23/2022 22:10:06,01/23/2022 22:12:06,23400,207,23600,1,4.1,,,,,,,,,,,
3,,01/23/2022 22:12:06,01/23/2022 22:14:07,23500,209,23700,1,4.1,,,,,,,,,,,
4,,01/23/2022 22:14:07,01/23/2022 22:16:06,23600,210,23800,1,4.1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
17,E,Sample,01/23/2022 22:16:20,01/23/2022 22:44:29,17,False,True,False,240,29200,57.7,0.2,227,1.53,0.67,29400,57.7,0.2,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/23/2022 22:16:20,01/23/2022 22:38:29,29000,223,29200,1,5,,,,,,,,,,,
2,,01/23/2022 22:38:29,01/23/2022 22:40:29,29300,226,29500,1,5,,,,,,,,,,,
3,,01/23/2022 22:40:29,01/23/2022 22:42:29,29200,227,29400,1,5,,,,,,,,,,,
4,,01/23/2022 22:42:29,01/23/2022 22:44:29,29200,229,29400,1,5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
