Software Version:,1.06 Rev 101,,,,,,,,,,,,,,,,,,
Date:,12/09/2021 09:02:38,,,,,,,,,,,,,,,,,,
===============,,,,,,,,,,,,,,,,,,,
Analyzer,Protocol Name,Protocol Date,Protocol Date End,Protocol Type,Vial Size,Operator,Comments,Performed By Certified FSE,,,,,,,,,,,
1566,RJ_08Dec2021,12/08/2021 15:36:19,12/08/2021 23:41:57,Autosampler,17,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sample Name,Lot #,Sample Type,Start Time,End Time,Vial #,Turbo,Autoreagents,ICR,Flush Time (sec),TOC Average (ppb),TOC Standard Deviation (ppb),TOC RSD (%),IC Average (ppb),IC Standard Deviation (ppb),IC RSD (%),TC Average (ppb),TC Standard Deviation (ppb),TC RSD (%),
blk,,Sample,12/08/2021 15:36:35,12/08/2021 16:08:18,1,False,True,True,240,59.3,0.58,0.97,207,1,0.48,266,0.58,0.22,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,12/08/2021 15:36:35,12/08/2021 16:02:17,61,203,264,2,0,,,,,,,,,,,
2,,12/08/2021 16:02:17,12/08/2021 16:04:18,60,206,266,2,0,,,,,,,,,,,
3,,12/08/2021 16:04:18,12/08/2021 16:06:18,59,207,266,2,0,,,,,,,,,,,
4,,12/08/2021 16:06:18,12/08/2021 16:08:18,59,208,267,2,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
blk,,Sample,12/08/2021 16:08:31,12/08/2021 16:40:49,2,False,True,True,240,53.3,1.15,2.17,188,0.58,0.31,241,1,0.41,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,12/08/2021 16:08:31,12/08/2021 16:34:49,42,186,228,2,0,,,,,,,,,,,
2,,12/08/2021 16:34:49,12/08/2021 16:36:49,54,188,242,2,0,,,,,,,,,,,
3,,12/08/2021 16:36:49,12/08/2021 16:38:49,52,188,240,2,0,,,,,,,,,,,
4,,12/08/2021 16:38:49,12/08/2021 16:40:49,54,187,241,2,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
E20E143,,Sample,12/08/2021 16:41:03,12/08/2021 17:13:21,3,False,True,True,240,39500,115,0.29,185,0.58,0.31,39700,115,0.29,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,12/08/2021 16:41:03,12/08/2021 17:07:21,39200,182,39400,2,6.9,,,,,,,,,,,
2,,12/08/2021 17:07:21,12/08/2021 17:09:21,39600,185,39800,2,6.9,,,,,,,,,,,
3,,12/08/2021 17:09:21,12/08/2021 17:11:21,39600,186,39800,2,6.9,,,,,,,,,,,
4,,12/08/2021 17:11:21,12/08/2021 17:13:21,39400,185,39600,2,6.9,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
