Software Version:,1.06 Rev 101,,,,,,,,,,,,,,,,,,
Date:,01/23/2022 14:01:54,,,,,,,,,,,,,,,,,,
===============,,,,,,,,,,,,,,,,,,,
Analyzer,Protocol Name,Protocol Date,Protocol Date End,Protocol Type,Vial Size,Operator,Comments,Performed By Certified FSE,,,,,,,,,,,
1566,RAJ_Ponds_22.01.21,01/21/2022 14:51:01,01/23/2022 13:39:53,Autosampler,17,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sample Name,Lot #,Sample Type,Start Time,End Time,Vial #,Turbo,Autoreagents,ICR,Flush Time (sec),TOC Average (ppb),TOC Standard Deviation (ppb),TOC RSD (%),IC Average (ppb),IC Standard Deviation (ppb),IC RSD (%),TC Average (ppb),TC Standard Deviation (ppb),TC RSD (%),
Blank,blk,Blank,01/21/2022 14:51:14,01/21/2022 15:18:57,1,False,True,False,240,45.9,1.55,3.38,83.4,5.77,6.92,129,4.51,3.49,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/21/2022 14:51:14,01/21/2022 15:12:57,34.5,92.5,127,0.3,0,,,,,,,,,,,
2,,01/21/2022 15:12:57,01/21/2022 15:14:57,44.2,89.8,134,0.3,0,,,,,,,,,,,
3,,01/21/2022 15:14:57,01/21/2022 15:16:57,47.2,81.8,129,0.3,0,,,,,,,,,,,
4,,01/21/2022 15:16:57,01/21/2022 15:18:57,46.4,78.6,125,0.3,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Blank,blk,Blank,01/21/2022 15:19:11,01/21/2022 15:47:28,2,False,True,False,240,57.8,1.95,3.37,78.2,4.36,5.57,136,2.65,1.95,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/21/2022 15:19:11,01/21/2022 15:41:28,45.3,81.7,127,0.3,0,,,,,,,,,,,
2,,01/21/2022 15:41:28,01/21/2022 15:43:28,55.6,82.4,138,0.3,0,,,,,,,,,,,
3,,01/21/2022 15:43:28,01/21/2022 15:45:28,58.5,78.5,137,0.3,0,,,,,,,,,,,
4,,01/21/2022 15:45:28,01/21/2022 15:47:28,59.3,73.7,133,0.3,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
A143,E20,Sample,01/21/2022 15:47:42,01/21/2022 16:15:59,3,False,True,False,240,7500,36.1,0.48,260,1.15,0.44,7760,36.1,0.46,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/21/2022 15:47:42,01/21/2022 16:09:59,7450,254,7700,1,1.4,,,,,,,,,,,
2,,01/21/2022 16:09:59,01/21/2022 16:11:59,7460,259,7720,1,1.4,,,,,,,,,,,
3,,01/21/2022 16:11:59,01/21/2022 16:14:00,7530,261,7790,1,1.4,,,,,,,,,,,
4,,01/21/2022 16:14:00,01/21/2022 16:15:59,7510,261,7770,1,1.4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
A146,E20,Sample,01/21/2022 16:16:13,01/21/2022 16:44:19,4,False,True,False,240,23900,231,0.97,242,1.53,0.63,24100,231,0.96,
Rep #,Rejected,Start Time,End Time,TOC (ppb),IC (ppb),TC (ppb),Acid Rate (?L/min),Oxid Rate (?L/min),,,,,,,,,,,
1,,01/21/2022 16:16:13,01/21/2022 16:38:19,23800,237,24000,1,4,,,,,,,,,,,
2,,01/21/2022 16:38:19,01/21/2022 16:40:19,23600,240,23800,1,4,,,,,,,,,,,
3,,01/21/2022 16:40:19,01/21/2022 16:42:19,24000,242,24200,1,4,,,,,,,,,,,
4,,01/21/2022 16:42:19,01/21/2022 16:44:19,24000,243,24200,1,4,,,,,,,,,,,
